,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,Genre_NR,Genre
15867,tm130301,MOVIE,2003,157,"7,8",17029.0,"3,218","6,3","drama, crime, action",genres.3,action
15868,tm134140,MOVIE,2003,145,"6,1",4203.0,"1,569","5,8","drama, comedy, romance",genres.3,romance
15869,tm114504,MOVIE,2002,155,"8,1",16225.0,"4,417","6,9","drama, history, action",genres.3,action
15870,tm98475,MOVIE,2010,115,"5,6",3140.0,"1,721","5,9","drama, comedy, family",genres.3,family
15871,tm101609,MOVIE,2010,167,"7,1",17555.0,"4,779","6,2","drama, thriller, crime",genres.3,crime
15872,tm112235,MOVIE,2002,137,"8,4",8376.0,"3,108","7,3","drama, war, action",genres.3,action
15873,tm134407,MOVIE,2009,144,"7,9",30389.0,"5,614","6,9","drama, romance, comedy",genres.3,comedy
15874,tm91323,MOVIE,2010,129,"5,6",7994.0,"6,08","5,9","drama, romance, comedy",genres.3,comedy
15875,tm99450,MOVIE,2010,120,"5,2",4227.0,"3,898","5,8","drama, romance, comedy",genres.3,comedy
15876,tm154375,MOVIE,2009,115,"3,5",3148.0,"3,923","3,9","drama, comedy, romance",genres.3,romance
15877,tm46867,MOVIE,2008,160,"4,8",1000.0,"1,91","6,3","drama, family, comedy",genres.3,comedy
15878,tm27275,MOVIE,2006,110,"6,6",2693.0,"4,014","6,5","drama, romance, comedy",genres.3,comedy
15879,ts70843,SHOW,2005,44,"6,8",128.0,"1,448",5,"drama, romance, comedy",genres.3,comedy
15880,ts4924,SHOW,2003,59,"6,9",39.0,"1,908",,"drama, comedy, romance",genres.3,romance
15881,ts188031,SHOW,2007,15,"6,1",47.0,"0,899",10,"drama, romance, comedy",genres.3,comedy
15882,tm639940,MOVIE,2010,104,"6,3",46.0,"0,6",,"drama, family, romance",genres.3,romance
15883,ts8175,SHOW,2012,56,"8,5",25562.0,"24,955","7,4","drama, history, european",genres.3,european
15884,tm166548,MOVIE,2011,140,"8,2",463276.0,"74,092","7,8","drama, action, sport",genres.3,sport
15885,tm59428,MOVIE,2012,122,"7,7",697481.0,"26,254","7,1","drama, romance, comedy",genres.3,comedy
15886,tm160132,MOVIE,2011,112,7,49101.0,"44,641","7,1","drama, family, sport",genres.3,sport
15887,tm173195,MOVIE,2011,114,6,96915.0,"24,872","6,1","drama, thriller, horror",genres.3,horror
