,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,countries,Country_NR,Country
4337,tm440946,MOVIE,2018,90,"5,1",4544.0,"11,557","5,8",CA,production_countries.1,CA
4338,ts83430,SHOW,2018,24,"7,4",456.0,"4,229","8,3",JP,production_countries.1,JP
4339,tm463827,MOVIE,2018,92,"3,7",1652.0,"3,089","4,4",FR,production_countries.1,FR
4340,tm414746,MOVIE,2018,62,"7,2",212.0,"4,216","7,2",MX,production_countries.1,MX
4341,ts80859,SHOW,2018,45,"7,5",219.0,"4,003","8,3",CN,production_countries.1,CN
4342,tm492277,MOVIE,2018,88,"7,3",111.0,"1,678",8,ID,production_countries.1,ID
4343,tm407318,MOVIE,2018,61,"6,9",237.0,"1,156",6,MX,production_countries.1,MX
4344,tm430426,MOVIE,2018,105,"4,5",437.0,"1,623","6,1",EG,production_countries.1,EG
4345,ts79707,SHOW,2018,40,"4,9",632.0,"10,357","6,3",AR,production_countries.1,AR
4346,tm434883,MOVIE,2018,100,"5,4",1100.0,"7,089","5,6",GB,production_countries.1,GB
4347,ts93947,SHOW,2018,16,"7,7",148.0,"1,033","7,5",AU,production_countries.1,AU
4348,ts82631,SHOW,2018,53,"7,9",92.0,"3,109",6,TH,production_countries.1,TH
4349,tm326773,MOVIE,2018,113,"6,9",3484.0,"5,05","6,7",ES,production_countries.1,ES
4350,tm407730,MOVIE,2018,93,"3,9",496.0,"4,337","4,1",ID,production_countries.1,ID
4351,ts84167,SHOW,2018,83,"8,6",49.0,"3,856",6,TW,production_countries.1,TW
4352,tm436266,MOVIE,2018,88,"6,1",256.0,"2,736","7,7",NZ,production_countries.1,NZ
4353,tm428483,MOVIE,2018,104,"6,3",290.0,"2,726","6,8",PH,production_countries.1,PH
4354,tm451171,MOVIE,2018,130,"4,7",126.0,"0,873","6,4",NG,production_countries.1,NG
4355,tm435487,MOVIE,2018,125,"5,5",894.0,"2,673","5,7",ID,production_countries.1,ID
4356,tm417111,MOVIE,2018,104,"6,1",1972.0,"9,983","6,8",PE,production_countries.1,PE
4357,tm444043,MOVIE,2018,84,5,994.0,"2,681","5,6",CA,production_countries.1,CA
4360,tm321149,MOVIE,2018,88,"7,5",72.0,"5,268","7,7",BR,production_countries.1,BR
4361,tm415245,MOVIE,2018,80,"6,6",634.0,"4,038","6,3",MY,production_countries.1,MY
4362,tm322200,MOVIE,2018,108,"5,4",3574.0,"10,67","5,3",ES,production_countries.1,ES
4363,tm407349,MOVIE,2018,91,"6,6",5.0,"0,738","5,8",BR,production_countries.1,BR
