id;type;release_year;runtime;imdb_score;imdb_votes;tmdb_popularity;tmdb_score;countries;production_countries.1;production_countries.2;production_countries.3;production_countries.4;production_countries.5;production_countries.6;production_countries.7
tm363787;MOVIE;2017;90;5,9;1414;5,892;6,3;US;US;;;;;;
tm355724;MOVIE;2017;92;5,7;19456;11,202;6,6;US;US;;;;;;
tm348010;MOVIE;2017;79;4,4;2655;6,236;4,6;US;US;;;;;;
tm357552;MOVIE;2017;85;5,4;4674;8,332;5;US;US;;;;;;
tm320249;MOVIE;2017;64;6,1;945;3,717;5,4;US;US;;;;;;
tm270490;MOVIE;2017;76;6,7;743;4,303;6,8;US;US;;;;;;
tm313120;MOVIE;2017;93;8,1;5143;10,875;7,9;US;US;;;;;;
tm320206;MOVIE;2017;99;5,2;6283;17,721;6,4;US;US;;;;;;
tm313748;MOVIE;2017;81;5,2;4465;9,533;5,3;US;US;;;;;;
tm376015;MOVIE;2017;21;5,9;444;12,929;7,1;US;US;;;;;;
tm359713;MOVIE;2017;97;5,7;8519;7,955;5,6;US;US;;;;;;
tm353046;MOVIE;2017;66;7,2;2367;4,233;7,1;US;US;;;;;;
tm311283;MOVIE;2017;57;3;9753;7,927;4,1;US;US;;;;;;
tm515157;MOVIE;2017;86;5,7;14184;16,224;6,1;US;US;;;;;;
tm242108;MOVIE;2017;84;5,9;1971;7,118;6,3;US;US;;;;;;
tm348568;MOVIE;2017;62;7;5643;7,723;7;US;US;;;;;;
tm320727;MOVIE;2017;60;7,4;2868;4,028;6,9;US;US;;;;;;
tm365961;MOVIE;2017;86;6,2;522;3,289;6,2;US;US;;;;;;
tm347850;MOVIE;2017;75;3,2;5122;17,736;4,4;US;US;;;;;;
tm346939;MOVIE;2017;83;6,5;386;2,535;7;US;US;;;;;;
tm348073;MOVIE;2017;90;4,4;234;3,719;6;US;US;;;;;;
tm355666;MOVIE;2017;73;6,8;3157;6,514;6,6;US;US;;;;;;
tm357272;MOVIE;2017;108;7,5;448;7,098;7,4;US;US;;;;;;
tm361770;MOVIE;2017;66;6,6;995;3,054;6,2;US;US;;;;;;
tm279585;MOVIE;2017;92;6;1887;8,911;5,6;US;US;;;;;;
tm327652;MOVIE;2017;98;6,2;3173;9,326;6,1;US;US;;;;;;
tm348845;MOVIE;2017;70;7,2;1916;4,172;6,8;US;US;;;;;;
tm353627;MOVIE;2017;59;6,4;941;4,556;6,1;US;US;;;;;;
tm300447;MOVIE;2017;77;7,2;7123;5,351;6,7;US;US;;;;;;
tm306631;MOVIE;2017;68;7,2;5121;5,055;7,1;US;US;;;;;;
tm233345;MOVIE;2017;105;5,4;1057;9,665;5,7;US;US;;;;;;
tm283322;MOVIE;2017;105;6;2828;11,741;5,8;US;US;;;;;;
tm358813;MOVIE;2017;69;6,2;1321;5,146;6,2;US;US;;;;;;
tm324806;MOVIE;2017;91;6,7;903;15,712;6,7;US;US;;;;;;
tm324588;MOVIE;2017;66;6,7;821;1,917;7,4;US;US;;;;;;
tm279017;MOVIE;2017;54;6,7;2102;6,613;6,6;US;US;;;;;;
tm316658;MOVIE;2017;85;3,6;659;4,985;4,9;US;US;;;;;;
tm275437;MOVIE;2017;97;4,8;2638;12,576;5,4;US;US;;;;;;
tm320785;MOVIE;2017;97;6,5;989;5,021;6,6;US;US;;;;;;
tm337040;MOVIE;2017;67;6,7;840;3,08;6,2;US;US;;;;;;
tm348386;MOVIE;2017;27;7,1;286;1,642;7,1;US;US;;;;;;
tm285329;MOVIE;2017;80;4,7;3130;9,312;5,2;US;US;;;;;;
tm326270;MOVIE;2017;65;6,6;526;3,661;7,4;US;US;;;;;;
tm285712;MOVIE;2017;69;6,7;1281;3,985;6,6;US;US;;;;;;
tm299790;MOVIE;2017;66;6,4;845;4,083;6,2;US;US;;;;;;
tm316744;MOVIE;2017;49;5,5;830;2,609;5,1;US;US;;;;;;
tm351688;MOVIE;2017;81;6,6;1096;3,101;6,1;US;US;;;;;;
tm356666;MOVIE;2017;84;7,8;1436;4,414;7,4;US;US;;;;;;
tm362047;MOVIE;2017;60;6,8;840;3,711;7,3;US;US;;;;;;
tm323300;MOVIE;2017;78;7,2;1531;6,826;7,3;US;US;;;;;;
tm311902;MOVIE;2017;61;7;1324;4,476;6,9;US;US;;;;;;
tm361312;MOVIE;2017;25;5,7;156;5,004;6,2;US;US;;;;;;
tm197806;MOVIE;2017;105;6,8;605;2,197;7;US;US;;;;;;
tm327636;MOVIE;2017;66;6,1;498;2,915;6,3;US;US;;;;;;
tm346398;MOVIE;2017;56;7,3;921;2,828;7;US;US;;;;;;
tm286520;MOVIE;2017;73;7,1;2381;4,898;7;US;US;;;;;;
tm346390;MOVIE;2017;63;5,7;151;2,044;6,5;US;US;;;;;;
tm319477;MOVIE;2017;52;5,8;601;2,444;5,2;US;US;;;;;;
tm325610;MOVIE;2017;65;6,5;1720;2,801;6,2;US;US;;;;;;
tm358239;MOVIE;2017;66;6,1;427;3,191;6,1;US;US;;;;;;
tm346867;MOVIE;2017;51;6,2;417;1,387;5,6;US;US;;;;;;
ts81064;SHOW;2018;42;7,3;28877;270,461;8,5;US;US;;;;;;
ts83970;SHOW;2018;42;7,6;9704;65,499;8,2;US;US;;;;;;
ts81294;SHOW;2018;42;7,1;50145;87,315;7,7;US;US;;;;;;
ts78801;SHOW;2018;31;8,6;163858;385,985;8,2;US;US;;;;;;
ts79813;SHOW;2018;47;7,7;225949;80,568;8,2;US;US;;;;;;
ts77398;SHOW;2018;49;7,3;96868;52,535;7,6;US;US;;;;;;
ts57120;SHOW;2018;42;7,7;49867;51,087;8,1;US;US;;;;;;
ts54102;SHOW;2018;52;7,9;162018;59,428;7,8;US;US;;;;;;
ts75097;SHOW;2018;39;7,7;74877;18,19;7,4;US;US;;;;;;
ts84785;SHOW;2018;44;7,3;20817;14,581;7,3;US;US;;;;;;
ts81208;SHOW;2018;42;4,5;16091;126,643;7,4;US;US;;;;;;
ts58433;SHOW;2018;58;8,6;226817;36,217;8,1;US;US;;;;;;
ts79229;SHOW;2018;67;8,1;29298;13,095;7,9;US;US;;;;;;
ts77955;SHOW;2018;52;8,2;4420;7,234;7,5;US;US;;;;;;
ts77852;SHOW;2018;21;5,8;798;14,06;8,6;US;US;;;;;;
ts82849;SHOW;2018;26;8,2;38232;16,555;7,6;US;US;;;;;;
ts80856;SHOW;2018;57;7,4;90327;124,52;8,3;US;US;;;;;;
ts82526;SHOW;2018;56;8,4;80902;58,895;7,9;US;US;;;;;;
ts72247;SHOW;2018;29;7,2;58639;74,537;7,6;US;US;;;;;;
ts77197;SHOW;2018;62;7,7;15323;13,897;7,4;US;US;;;;;;
ts78080;SHOW;2018;24;7,5;18023;24,964;7,6;US;US;;;;;;
ts78558;SHOW;2018;47;8,5;18147;14,475;7,8;US;US;;;;;;
ts80035;SHOW;2018;44;5,8;13103;17,781;5,6;US;US;;;;;;
ts57055;SHOW;2018;42;6,1;24646;67,65;7,2;US;US;;;;;;
ts82597;SHOW;2018;27;8,4;21635;36,019;8,4;US;US;;;;;;
ts80705;SHOW;2018;48;7,5;27516;10,581;7,5;US;US;;;;;;
ts81344;SHOW;2018;21;8;8831;12,859;7,7;US;US;;;;;;
ts81331;SHOW;2018;24;7,8;14935;22,339;8,8;US;US;;;;;;
