id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm404610;MOVIE;2018;45;animation;animation;;;;;;;;;;;1,982;6
ts81828;SHOW;2018;23;animation;animation;;;;;;;;;;;1,168;
ts236619;SHOW;2018;3;;;;;;;;;;;;;1,168;10
ts268283;SHOW;2018;24;;;;;;;;;;;;;1,524;
ts86360;SHOW;2018;35;family;family;;;;;;;;;;;4,429;8,5
tm364525;MOVIE;2017;50;animation;animation;;;;;;;;;;;3,844;5,6
tm1073433;MOVIE;2017;78;;;;;;;;;;;;;0,733;
tm1073233;MOVIE;2018;77;;;;;;;;;;;;;0,609;
ts223548;SHOW;2020;25;scifi;scifi;;;;;;;;;;;29,669;8,4
ts223530;SHOW;2020;52;scifi;scifi;;;;;;;;;;;74,635;8,6
ts236685;SHOW;2020;49;thriller;thriller;;;;;;;;;;;27,359;4,3
tm853953;MOVIE;2020;103;horror;horror;;;;;;;;;;;16,143;6,4
ts251654;SHOW;2020;56;scifi;scifi;;;;;;;;;;;8,112;7,3
ts268799;SHOW;2020;46;scifi;scifi;;;;;;;;;;;19,592;7,5
tm926004;MOVIE;2020;24;animation;animation;;;;;;;;;;;46,316;6,9
ts215341;SHOW;2019;96;reality;reality;;;;;;;;;;;15,88;8
tm819950;MOVIE;2019;15;music;music;;;;;;;;;;;6,23;7,4
ts227385;SHOW;2020;13;scifi;scifi;;;;;;;;;;;34,608;7,6
ts221293;SHOW;2020;71;scifi;scifi;;;;;;;;;;;47,02;8,5
ts221365;SHOW;2019;40;crime;crime;;;;;;;;;;;6,23;6,6
ts225860;SHOW;2020;31;scifi;scifi;;;;;;;;;;;11,289;7
tm371882;MOVIE;2019;110;fantasy;fantasy;;;;;;;;;;;6,397;8
ts221366;SHOW;2019;26;crime;crime;;;;;;;;;;;7,419;7,2
tm467804;MOVIE;2019;140;thriller;thriller;;;;;;;;;;;1,711;5,2
ts312044;SHOW;2020;23;animation;animation;;;;;;;;;;;10,678;9,5
ts220248;SHOW;2019;48;reality;reality;;;;;;;;;;;8,653;7,5
ts237239;SHOW;2020;47;;;;;;;;;;;;;30,275;7,4
tm858416;MOVIE;2020;119;thriller;thriller;;;;;;;;;;;8,036;6,7
ts237773;SHOW;2020;49;scifi;scifi;;;;;;;;;;;37,192;7
tm854278;MOVIE;2020;116;thriller;thriller;;;;;;;;;;;14,972;5,9
ts220983;SHOW;2019;75;action;action;;;;;;;;;;;12,982;7,6
ts222438;SHOW;2020;26;scifi;scifi;;;;;;;;;;;21,075;8,2
ts254737;SHOW;2020;14;;;;;;;;;;;;;9,174;10
ts224794;SHOW;2020;25;scifi;scifi;;;;;;;;;;;8,629;8,3
ts314647;SHOW;2020;53;;;;;;;;;;;;;;
ts225513;SHOW;2020;44;scifi;scifi;;;;;;;;;;;4,595;7
ts252977;SHOW;2019;47;;;;;;;;;;;;;0,608;
ts256784;SHOW;2020;14;;;;;;;;;;;;;8,503;7,8
tm848663;MOVIE;2020;144;horror;horror;;;;;;;;;;;6,685;5,1
tm473601;MOVIE;2019;92;thriller;thriller;;;;;;;;;;;11,668;5,3
tm898759;MOVIE;2020;89;thriller;thriller;;;;;;;;;;;18,035;5,7
tm885470;MOVIE;2019;61;;;;;;;;;;;;;0,6;8
tm883113;MOVIE;2020;80;thriller;thriller;;;;;;;;;;;17,714;6,2
tm827168;MOVIE;2019;40;animation;animation;;;;;;;;;;;3,557;6,3
ts91125;SHOW;2019;62;war;war;;;;;;;;;;;7,903;8,5
ts237304;SHOW;2020;14;;;;;;;;;;;;;6,118;8,7
tm840761;MOVIE;2020;97;romance;romance;;;;;;;;;;;12,298;6,9
ts216698;SHOW;2019;29;reality;reality;;;;;;;;;;;1,585;10
tm890591;MOVIE;2020;107;romance;romance;;;;;;;;;;;14,359;6,9
tm882875;MOVIE;2020;4;scifi;scifi;;;;;;;;;;;3,749;5,4
ts236197;SHOW;2020;13;;;;;;;;;;;;;9,066;7,1
tm972010;MOVIE;2020;89;thriller;thriller;;;;;;;;;;;5,405;5,9
tm810836;MOVIE;2019;161;fantasy;fantasy;;;;;;;;;;;2,584;6,8
tm456894;MOVIE;2019;50;romance;romance;;;;;;;;;;;6,146;7,4
ts223062;SHOW;2019;62;;;;;;;;;;;;;0,6;7
tm980358;MOVIE;2020;92;family;family;;;;;;;;;;;4,746;7,3
tm845588;MOVIE;2019;44;animation;animation;;;;;;;;;;;2,076;
